[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 000 step 000100] loss=0.64944 lr=4.000e-06
[epoch 000 step 000200] loss=0.16097 lr=8.000e-06
[epoch 000 step 000300] loss=0.09866 lr=1.200e-05
[epoch 001 step 000400] loss=0.08666 lr=1.600e-05
[epoch 001 step 000500] loss=0.09185 lr=2.000e-05
[epoch 001 step 000600] loss=0.07707 lr=2.400e-05
[epoch 001 step 000700] loss=0.08817 lr=2.800e-05
[epoch 002 step 000800] loss=0.06626 lr=3.200e-05
[epoch 002 step 000900] loss=0.08967 lr=3.600e-05
[epoch 002 step 001000] loss=0.07148 lr=4.000e-05
[epoch 002 step 001100] loss=0.08088 lr=4.400e-05
[epoch 003 step 001200] loss=0.07715 lr=4.800e-05
[epoch 003 step 001300] loss=0.06316 lr=5.200e-05
[epoch 003 step 001400] loss=0.05601 lr=5.600e-05
[epoch 003 step 001500] loss=0.07177 lr=6.000e-05
[epoch 004 step 001600] loss=0.06964 lr=6.400e-05
[epoch 004 step 001700] loss=0.07850 lr=6.800e-05
[epoch 004 step 001800] loss=0.05597 lr=7.200e-05
[epoch 004 step 001900] loss=0.06538 lr=7.600e-05
[epoch 005 step 002000] loss=0.06389 lr=8.000e-05
[epoch 005 step 002100] loss=0.05955 lr=8.400e-05
[epoch 005 step 002200] loss=0.06411 lr=8.800e-05
[epoch 005 step 002300] loss=0.05963 lr=9.200e-05
[epoch 006 step 002400] loss=0.06486 lr=9.600e-05
[epoch 006 step 002500] loss=0.07019 lr=1.000e-04
[epoch 006 step 002600] loss=0.07975 lr=1.040e-04
[epoch 006 step 002700] loss=0.06717 lr=1.080e-04
[epoch 007 step 002800] loss=0.06151 lr=1.120e-04
[epoch 007 step 002900] loss=0.06368 lr=1.160e-04
[epoch 007 step 003000] loss=0.07178 lr=1.200e-04
[epoch 007 step 003100] loss=0.05931 lr=1.240e-04
[epoch 008 step 003200] loss=0.05194 lr=1.280e-04
[epoch 008 step 003300] loss=0.04990 lr=1.320e-04
[epoch 008 step 003400] loss=0.06044 lr=1.360e-04
[epoch 008 step 003500] loss=0.06844 lr=1.400e-04
[epoch 009 step 003600] loss=0.05530 lr=1.440e-04
[epoch 009 step 003700] loss=0.05975 lr=1.480e-04
[epoch 009 step 003800] loss=0.06900 lr=1.520e-04
[epoch 009 step 003900] loss=0.05435 lr=1.560e-04
[epoch 010 step 004000] loss=0.06927 lr=1.600e-04
[epoch 010 step 004100] loss=0.05992 lr=1.640e-04
[epoch 010 step 004200] loss=0.06274 lr=1.680e-04
[epoch 011 step 004300] loss=0.05339 lr=1.720e-04
[epoch 011 step 004400] loss=0.06220 lr=1.760e-04
[epoch 011 step 004500] loss=0.06987 lr=1.800e-04
[epoch 011 step 004600] loss=0.05886 lr=1.840e-04
[epoch 012 step 004700] loss=0.05173 lr=1.880e-04
[epoch 012 step 004800] loss=0.07208 lr=1.920e-04
[epoch 012 step 004900] loss=0.05585 lr=1.960e-04
[epoch 012 step 005000] loss=0.05440 lr=2.000e-04
[epoch 013 step 005100] loss=0.06096 lr=2.000e-04
[epoch 013 step 005200] loss=0.05611 lr=2.000e-04
[epoch 013 step 005300] loss=0.04917 lr=2.000e-04
[epoch 013 step 005400] loss=0.05132 lr=2.000e-04
[epoch 014 step 005500] loss=0.06726 lr=2.000e-04
[epoch 014 step 005600] loss=0.05354 lr=2.000e-04
[epoch 014 step 005700] loss=0.05991 lr=2.000e-04
[epoch 014 step 005800] loss=0.05007 lr=2.000e-04
[epoch 015 step 005900] loss=0.05451 lr=2.000e-04
[epoch 015 step 006000] loss=0.06355 lr=2.000e-04
[epoch 015 step 006100] loss=0.04553 lr=2.000e-04
[epoch 015 step 006200] loss=0.06606 lr=2.000e-04
[epoch 016 step 006300] loss=0.04582 lr=2.000e-04
[epoch 016 step 006400] loss=0.07045 lr=2.000e-04
[epoch 016 step 006500] loss=0.05831 lr=2.000e-04
[epoch 016 step 006600] loss=0.05003 lr=2.000e-04
[epoch 017 step 006700] loss=0.07202 lr=2.000e-04
[epoch 017 step 006800] loss=0.07791 lr=2.000e-04
[epoch 017 step 006900] loss=0.04121 lr=2.000e-04
[epoch 017 step 007000] loss=0.05926 lr=2.000e-04
[epoch 018 step 007100] loss=0.06753 lr=2.000e-04
[epoch 018 step 007200] loss=0.05509 lr=2.000e-04
[epoch 018 step 007300] loss=0.05639 lr=2.000e-04
[epoch 018 step 007400] loss=0.05948 lr=2.000e-04
[epoch 019 step 007500] loss=0.05159 lr=2.000e-04
[epoch 019 step 007600] loss=0.05626 lr=2.000e-04
[epoch 019 step 007700] loss=0.05417 lr=2.000e-04
[epoch 019 step 007800] loss=0.06046 lr=2.000e-04
[epoch 020 step 007900] loss=0.05238 lr=2.000e-04
[epoch 020 step 008000] loss=0.06309 lr=2.000e-04
[epoch 020 step 008100] loss=0.06760 lr=2.000e-04
[epoch 021 step 008200] loss=0.05413 lr=2.000e-04
[epoch 021 step 008300] loss=0.05884 lr=2.000e-04
[epoch 021 step 008400] loss=0.04824 lr=2.000e-04
[epoch 021 step 008500] loss=0.05403 lr=2.000e-04
[epoch 022 step 008600] loss=0.07803 lr=2.000e-04
[epoch 022 step 008700] loss=0.04374 lr=2.000e-04
[epoch 022 step 008800] loss=0.05841 lr=2.000e-04
[epoch 022 step 008900] loss=0.06062 lr=2.000e-04
[epoch 023 step 009000] loss=0.05435 lr=2.000e-04
[epoch 023 step 009100] loss=0.07031 lr=2.000e-04
[epoch 023 step 009200] loss=0.06026 lr=2.000e-04
[epoch 023 step 009300] loss=0.04510 lr=2.000e-04
[epoch 024 step 009400] loss=0.06223 lr=2.000e-04
[epoch 024 step 009500] loss=0.06472 lr=2.000e-04
[epoch 024 step 009600] loss=0.04293 lr=2.000e-04
[epoch 024 step 009700] loss=0.06564 lr=2.000e-04
[epoch 025 step 009800] loss=0.06237 lr=2.000e-04
[epoch 025 step 009900] loss=0.05811 lr=2.000e-04
[epoch 025 step 010000] loss=0.05860 lr=2.000e-04
[epoch 025 step 010100] loss=0.04755 lr=2.000e-04
[epoch 026 step 010200] loss=0.05458 lr=2.000e-04
[epoch 026 step 010300] loss=0.06605 lr=2.000e-04
[epoch 026 step 010400] loss=0.05435 lr=2.000e-04
[epoch 026 step 010500] loss=0.06646 lr=2.000e-04
[epoch 027 step 010600] loss=0.05340 lr=2.000e-04
[epoch 027 step 010700] loss=0.06226 lr=2.000e-04
[epoch 027 step 010800] loss=0.04831 lr=2.000e-04
[epoch 027 step 010900] loss=0.06938 lr=2.000e-04
[epoch 028 step 011000] loss=0.06425 lr=2.000e-04
[epoch 028 step 011100] loss=0.06577 lr=2.000e-04
[epoch 028 step 011200] loss=0.04048 lr=2.000e-04
[epoch 028 step 011300] loss=0.06407 lr=2.000e-04
[epoch 029 step 011400] loss=0.06300 lr=2.000e-04
[epoch 029 step 011500] loss=0.06065 lr=2.000e-04
[epoch 029 step 011600] loss=0.05523 lr=2.000e-04
[epoch 029 step 011700] loss=0.04143 lr=2.000e-04
[epoch 030 step 011800] loss=0.06708 lr=2.000e-04
[epoch 030 step 011900] loss=0.06402 lr=2.000e-04
[epoch 030 step 012000] loss=0.04569 lr=2.000e-04
[epoch 030 attempt 012057] optimizer step skipped; scaler=2097152.0
[epoch 031 step 012100] loss=0.05734 lr=2.000e-04
