step,attempt_step,epoch,loss,lr,grad_norm,optimizer_step_skipped
1.0,1.0,0.0,1.070064902305603,1e-08,5.298747539520264,0.0
2.0,2.0,0.0,1.0716774463653564,2e-08,5.320466995239258,0.0
3.0,3.0,0.0,1.0726845264434814,3.0000000000000004e-08,5.299934387207031,0.0
4.0,4.0,0.0,1.0747603178024292,4e-08,5.28534460067749,0.0
5.0,5.0,0.0,1.075853705406189,5e-08,5.306482315063477,0.0
6.0,6.0,0.0,1.0722237825393677,6.000000000000001e-08,5.295984268188477,0.0
7.0,7.0,0.0,1.073944330215454,7e-08,5.308761119842529,0.0
8.0,8.0,0.0,1.0670028924942017,8e-08,5.301201820373535,0.0
9.0,9.0,0.0,1.0702157020568848,9.000000000000001e-08,5.340928077697754,0.0
10.0,10.0,0.0,1.0730867385864258,1e-07,5.334580898284912,0.0
11.0,11.0,0.0,1.0724676847457886,1.1e-07,5.421229839324951,0.0
12.0,12.0,0.0,1.06732177734375,1.2000000000000002e-07,5.217135429382324,0.0
13.0,13.0,0.0,1.0670979022979736,1.3000000000000003e-07,5.263063430786133,0.0
14.0,14.0,0.0,1.071484923362732,1.4e-07,5.348973751068115,0.0
15.0,15.0,0.0,1.0665894746780396,1.5e-07,5.219237804412842,0.0
16.0,16.0,0.0,1.0673415660858154,1.6e-07,5.2209248542785645,0.0
17.0,17.0,0.0,1.0685627460479736,1.7000000000000001e-07,5.256871223449707,0.0
18.0,18.0,0.0,1.0683767795562744,1.8000000000000002e-07,5.301987171173096,0.0
19.0,19.0,0.0,1.0664513111114502,1.9e-07,5.251944065093994,0.0
20.0,20.0,0.0,1.0618342161178589,2e-07,5.206908702850342,0.0
21.0,21.0,0.0,1.0666974782943726,2.1000000000000003e-07,5.211180686950684,0.0
22.0,22.0,0.0,1.0638203620910645,2.2e-07,5.276124954223633,0.0
23.0,23.0,0.0,1.065497636795044,2.3e-07,5.359244346618652,0.0
24.0,24.0,0.0,1.0624059438705444,2.4000000000000003e-07,5.161126136779785,0.0
25.0,25.0,0.0,1.0647084712982178,2.5e-07,5.342263221740723,0.0
26.0,26.0,0.0,1.063683271408081,2.6000000000000005e-07,5.367569923400879,0.0
27.0,27.0,0.0,1.0660486221313477,2.7e-07,5.237683296203613,0.0
28.0,28.0,0.0,1.0621397495269775,2.8e-07,5.2101149559021,0.0
29.0,29.0,0.0,1.0555366277694702,2.9000000000000003e-07,5.2998552322387695,0.0
30.0,30.0,0.0,1.0603530406951904,3e-07,5.2309088706970215,0.0
31.0,31.0,0.0,1.0620248317718506,3.1000000000000005e-07,5.2544450759887695,0.0
32.0,32.0,0.0,1.0589663982391357,3.2e-07,5.287281513214111,0.0
33.0,33.0,0.0,1.0561332702636719,3.3e-07,5.263713359832764,0.0
34.0,34.0,0.0,1.0598437786102295,3.4000000000000003e-07,5.288091659545898,0.0
35.0,35.0,0.0,1.0617576837539673,3.5e-07,5.242369174957275,0.0
36.0,36.0,0.0,1.0578956604003906,3.6000000000000005e-07,5.129659652709961,0.0
37.0,37.0,0.0,1.0585720539093018,3.7e-07,5.096592426300049,0.0
38.0,38.0,0.0,1.057235836982727,3.8e-07,5.035910606384277,0.0
39.0,39.0,0.0,1.053866982460022,3.9e-07,5.2762298583984375,0.0
40.0,40.0,0.0,1.0531197786331177,4e-07,5.127848148345947,0.0
41.0,41.0,0.0,1.0576012134552002,4.1000000000000004e-07,5.126969337463379,0.0
42.0,42.0,0.0,1.0534770488739014,4.2000000000000006e-07,5.1274309158325195,0.0
43.0,43.0,0.0,1.0516784191131592,4.3e-07,5.080131530761719,0.0
44.0,44.0,0.0,1.0495727062225342,4.4e-07,5.096895694732666,0.0
45.0,45.0,0.0,1.0485143661499023,4.5000000000000003e-07,5.176774501800537,0.0
46.0,46.0,0.0,1.047436237335205,4.6e-07,5.252359390258789,0.0
47.0,47.0,0.0,1.0452697277069092,4.7e-07,5.1015167236328125,0.0
48.0,48.0,0.0,1.0481051206588745,4.800000000000001e-07,5.0759172439575195,0.0
49.0,49.0,0.0,1.047005295753479,4.9e-07,5.067330837249756,0.0
50.0,50.0,0.0,1.0415323972702026,5e-07,4.915839195251465,0.0
51.0,51.0,0.0,1.038368582725525,5.1e-07,5.01940393447876,0.0
52.0,52.0,0.0,1.0408856868743896,5.200000000000001e-07,4.937119960784912,0.0
53.0,53.0,0.0,1.043724536895752,5.3e-07,5.024779319763184,0.0
54.0,54.0,0.0,1.0384695529937744,5.4e-07,4.8661723136901855,0.0
55.0,55.0,0.0,1.038690447807312,5.5e-07,4.927408218383789,0.0
56.0,56.0,0.0,1.036977767944336,5.6e-07,5.085323810577393,0.0
57.0,57.0,0.0,1.0356016159057617,5.7e-07,5.087943077087402,0.0
58.0,58.0,0.0,1.0375717878341675,5.800000000000001e-07,5.0398688316345215,0.0
59.0,59.0,0.0,1.034179925918579,5.9e-07,4.955962657928467,0.0
60.0,60.0,0.0,1.0319229364395142,6e-07,4.953348636627197,0.0
61.0,61.0,0.0,1.0272572040557861,6.100000000000001e-07,5.043338298797607,0.0
62.0,62.0,0.0,1.02688729763031,6.200000000000001e-07,4.89231538772583,0.0
63.0,63.0,0.0,1.0320069789886475,6.3e-07,4.894568920135498,0.0
64.0,64.0,0.0,1.027018427848816,6.4e-07,4.954648494720459,0.0
65.0,65.0,0.0,1.0287387371063232,6.5e-07,4.929708480834961,0.0
66.0,66.0,0.0,1.024940013885498,6.6e-07,5.001180171966553,0.0
67.0,67.0,0.0,1.0219435691833496,6.7e-07,4.94992208480835,0.0
68.0,68.0,0.0,1.0257614850997925,6.800000000000001e-07,4.931508541107178,0.0
69.0,69.0,0.0,1.0187864303588867,6.900000000000001e-07,4.8956298828125,0.0
70.0,70.0,0.0,1.0193735361099243,7e-07,4.872104167938232,0.0
71.0,71.0,0.0,1.019578456878662,7.100000000000001e-07,4.9417901039123535,0.0
72.0,72.0,0.0,1.0205328464508057,7.200000000000001e-07,4.747134208679199,0.0
73.0,73.0,0.0,1.0128000974655151,7.3e-07,4.922165870666504,0.0
74.0,74.0,0.0,1.0095430612564087,7.4e-07,4.934934616088867,0.0
75.0,75.0,0.0,1.0124809741973877,7.5e-07,4.966317176818848,0.0
76.0,76.0,0.0,1.00916588306427,7.6e-07,4.813119411468506,0.0
77.0,77.0,0.0,1.0051909685134888,7.7e-07,4.851554870605469,0.0
78.0,78.0,0.0,1.0090855360031128,7.8e-07,4.738553524017334,0.0
79.0,79.0,0.0,1.000286340713501,7.900000000000001e-07,4.816344738006592,0.0
80.0,80.0,0.0,1.0035090446472168,8e-07,4.789470672607422,0.0
81.0,81.0,0.0,1.0057588815689087,8.1e-07,4.822089195251465,0.0
82.0,82.0,0.0,1.0015146732330322,8.200000000000001e-07,4.81383752822876,0.0
83.0,83.0,0.0,0.9988964796066284,8.3e-07,4.784790992736816,0.0
84.0,84.0,0.0,0.9957885146141052,8.400000000000001e-07,4.8587775230407715,0.0
85.0,85.0,0.0,0.9971829652786255,8.5e-07,4.689907073974609,0.0
86.0,86.0,0.0,0.9951443076133728,8.6e-07,4.775259017944336,0.0
87.0,87.0,0.0,0.9914929866790771,8.700000000000001e-07,4.768280982971191,0.0
88.0,88.0,0.0,0.989641547203064,8.8e-07,4.742450714111328,0.0
89.0,89.0,0.0,0.9848299026489258,8.9e-07,4.756369590759277,0.0
90.0,90.0,0.0,0.9832109808921814,9.000000000000001e-07,4.65580940246582,0.0
91.0,91.0,0.0,0.9796467423439026,9.100000000000001e-07,4.608880043029785,0.0
92.0,92.0,0.0,0.9855731725692749,9.2e-07,4.483115196228027,0.0
93.0,93.0,0.0,0.982539176940918,9.300000000000001e-07,4.670925140380859,0.0
94.0,94.0,0.0,0.9807174801826477,9.4e-07,4.655223369598389,0.0
95.0,95.0,0.0,0.9749152660369873,9.5e-07,4.688483238220215,0.0
96.0,96.0,0.0,0.9752379059791565,9.600000000000001e-07,4.5633769035339355,0.0
97.0,97.0,0.0,0.9730969667434692,9.7e-07,4.628896236419678,0.0
98.0,98.0,0.0,0.9648950695991516,9.8e-07,4.648781776428223,0.0
99.0,99.0,0.0,0.964666485786438,9.9e-07,4.678290367126465,0.0
100.0,100.0,0.0,0.961668074131012,1e-06,4.817202091217041,0.0
101.0,101.0,0.0,0.9633969664573669,1.01e-06,4.60040807723999,0.0
102.0,102.0,0.0,0.9585614204406738,1.02e-06,4.663583278656006,0.0
103.0,103.0,0.0,0.9586070775985718,1.03e-06,4.624347686767578,0.0
104.0,104.0,0.0,0.9603496193885803,1.0400000000000002e-06,4.62905740737915,0.0
105.0,105.0,0.0,0.9505662322044373,1.0500000000000001e-06,4.7586798667907715,0.0
106.0,106.0,0.0,0.9557555317878723,1.06e-06,4.562218189239502,0.0
107.0,107.0,0.0,0.9442025423049927,1.0700000000000001e-06,4.553321838378906,0.0
108.0,108.0,0.0,0.9434329271316528,1.08e-06,4.596105575561523,0.0
109.0,109.0,0.0,0.9418441653251648,1.09e-06,4.517913818359375,0.0
110.0,110.0,0.0,0.940229594707489,1.1e-06,4.5772929191589355,0.0
111.0,111.0,0.0,0.9356603026390076,1.11e-06,4.475424766540527,0.0
112.0,112.0,0.0,0.9372920989990234,1.12e-06,4.529657363891602,0.0
113.0,113.0,0.0,0.9329094886779785,1.1300000000000002e-06,4.537652492523193,0.0
114.0,114.0,0.0,0.9356564283370972,1.14e-06,4.428947925567627,0.0
115.0,115.0,0.0,0.9322222471237183,1.15e-06,4.451923847198486,0.0
116.0,116.0,0.0,0.9297789931297302,1.1600000000000001e-06,4.4976677894592285,0.0
117.0,117.0,0.0,0.9244067668914795,1.17e-06,4.577686309814453,0.0
118.0,118.0,0.0,0.920742392539978,1.18e-06,4.55549955368042,0.0
119.0,119.0,0.0,0.919189453125,1.19e-06,4.4756951332092285,0.0
120.0,120.0,0.0,0.9145544767379761,1.2e-06,4.533127307891846,0.0
121.0,121.0,0.0,0.9154152274131775,1.21e-06,4.329831600189209,0.0
122.0,122.0,0.0,0.9122022390365601,1.2200000000000002e-06,4.439582824707031,0.0
123.0,123.0,0.0,0.9110805988311768,1.23e-06,4.3401103019714355,0.0
124.0,124.0,0.0,0.9088703989982605,1.2400000000000002e-06,4.362265586853027,0.0
125.0,125.0,0.0,0.8951319456100464,1.25e-06,4.499703407287598,0.0
126.0,126.0,0.0,0.907557487487793,1.26e-06,4.365596771240234,0.0
127.0,127.0,0.0,0.9031292796134949,1.2700000000000001e-06,4.42556095123291,0.0
128.0,128.0,0.0,0.8897832036018372,1.28e-06,4.4677839279174805,0.0
129.0,129.0,0.0,0.8952774405479431,1.29e-06,4.364038944244385,0.0
130.0,130.0,0.0,0.8927642107009888,1.3e-06,4.390540599822998,0.0
131.0,131.0,0.0,0.8886003494262695,1.31e-06,4.409707546234131,0.0
132.0,132.0,0.0,0.8865479826927185,1.32e-06,4.367705821990967,0.0
133.0,133.0,0.0,0.8790973424911499,1.3300000000000002e-06,4.352700233459473,0.0
134.0,134.0,0.0,0.874999463558197,1.34e-06,4.398196697235107,0.0
135.0,135.0,0.0,0.8763508796691895,1.35e-06,4.317025184631348,0.0
136.0,136.0,0.0,0.8740992546081543,1.3600000000000001e-06,4.315826892852783,0.0
137.0,137.0,0.0,0.8747690916061401,1.37e-06,4.209035873413086,0.0
138.0,138.0,0.0,0.8571937680244446,1.3800000000000001e-06,4.357255458831787,0.0
139.0,139.0,0.0,0.8626382946968079,1.39e-06,4.320135116577148,0.0
140.0,140.0,0.0,0.8569560050964355,1.4e-06,4.358613967895508,0.0
141.0,141.0,0.0,0.8522771596908569,1.41e-06,4.385706424713135,0.0
142.0,142.0,0.0,0.8522413969039917,1.4200000000000002e-06,4.202791690826416,0.0
143.0,143.0,0.0,0.8432037830352783,1.43e-06,4.362368583679199,0.0
144.0,144.0,0.0,0.8491367101669312,1.4400000000000002e-06,4.193118572235107,0.0
145.0,145.0,0.0,0.8506478071212769,1.45e-06,4.082404136657715,0.0
146.0,146.0,0.0,0.8404470682144165,1.46e-06,4.300480365753174,0.0
147.0,147.0,0.0,0.8373945951461792,1.4700000000000001e-06,4.275594711303711,0.0
148.0,148.0,0.0,0.8383712768554688,1.48e-06,4.2511162757873535,0.0
149.0,149.0,0.0,0.8419340252876282,1.49e-06,4.116044044494629,0.0
150.0,150.0,0.0,0.8281451463699341,1.5e-06,4.136096477508545,0.0
151.0,151.0,0.0,0.8317331075668335,1.5100000000000002e-06,4.072009563446045,0.0
152.0,152.0,0.0,0.8235692977905273,1.52e-06,4.139064788818359,0.0
153.0,153.0,0.0,0.8253233432769775,1.5300000000000002e-06,4.0160813331604,0.0
154.0,154.0,0.0,0.8185220956802368,1.54e-06,4.07498836517334,0.0
155.0,155.0,0.0,0.8186434507369995,1.55e-06,4.083611965179443,0.0
156.0,156.0,0.0,0.8059471845626831,1.56e-06,4.191311359405518,0.0
157.0,157.0,0.0,0.8151384592056274,1.5700000000000002e-06,3.9745335578918457,0.0
158.0,158.0,0.0,0.8084142208099365,1.5800000000000001e-06,4.045490264892578,0.0
159.0,159.0,0.0,0.799584150314331,1.59e-06,4.0320281982421875,0.0
160.0,160.0,0.0,0.7946673035621643,1.6e-06,4.089197158813477,0.0
161.0,161.0,0.0,0.8007366061210632,1.61e-06,3.866560220718384,0.0
162.0,162.0,0.0,0.783928632736206,1.62e-06,4.121218681335449,0.0
163.0,163.0,0.0,0.784919261932373,1.6300000000000003e-06,4.046494960784912,0.0
164.0,164.0,0.0,0.7782749533653259,1.6400000000000002e-06,4.04853630065918,0.0
165.0,165.0,0.0,0.77768874168396,1.65e-06,4.048659801483154,0.0
166.0,166.0,0.0,0.7717848420143127,1.66e-06,4.033273220062256,0.0
167.0,167.0,0.0,0.7749676704406738,1.6699999999999999e-06,3.851776599884033,0.0
168.0,168.0,0.0,0.7760511636734009,1.6800000000000002e-06,3.9151499271392822,0.0
169.0,169.0,0.0,0.7559671401977539,1.6900000000000001e-06,4.04320764541626,0.0
170.0,170.0,0.0,0.7596404552459717,1.7e-06,3.931276798248291,0.0
171.0,171.0,0.0,0.7518085837364197,1.7100000000000001e-06,3.8862297534942627,0.0
172.0,172.0,0.0,0.752005934715271,1.72e-06,3.86710786819458,0.0
173.0,173.0,0.0,0.7521331310272217,1.73e-06,3.8755013942718506,0.0
174.0,174.0,0.0,0.7556822299957275,1.7400000000000003e-06,3.811535120010376,0.0
175.0,175.0,0.0,0.7376757860183716,1.7500000000000002e-06,3.963768720626831,0.0
176.0,176.0,0.0,0.7373257279396057,1.76e-06,3.8758838176727295,0.0
177.0,177.0,0.0,0.7289131879806519,1.77e-06,3.964029550552368,0.0
178.0,178.0,0.0,0.7273591756820679,1.78e-06,3.9545555114746094,0.0
179.0,179.0,0.0,0.7189547419548035,1.79e-06,3.9095876216888428,0.0
180.0,180.0,0.0,0.7218939065933228,1.8000000000000001e-06,3.880624532699585,0.0
181.0,181.0,0.0,0.7098443508148193,1.8100000000000002e-06,3.8514246940612793,0.0
182.0,182.0,0.0,0.7063224911689758,1.8200000000000002e-06,3.8933324813842773,0.0
183.0,183.0,0.0,0.713767409324646,1.83e-06,3.772242307662964,0.0
184.0,184.0,0.0,0.7051869034767151,1.84e-06,3.795654773712158,0.0
185.0,185.0,0.0,0.7047533392906189,1.8500000000000003e-06,3.81969952583313,0.0
186.0,186.0,0.0,0.7032359838485718,1.8600000000000002e-06,3.7002713680267334,0.0
187.0,187.0,0.0,0.7061089277267456,1.87e-06,3.65997052192688,0.0
188.0,188.0,0.0,0.6907515525817871,1.88e-06,3.768550395965576,0.0
189.0,189.0,0.0,0.6854784488677979,1.8900000000000001e-06,3.73746919631958,0.0
190.0,190.0,0.0,0.6785653829574585,1.9e-06,3.7425196170806885,0.0
191.0,191.0,0.0,0.6887995004653931,1.9100000000000003e-06,3.6037232875823975,0.0
192.0,192.0,0.0,0.6777725219726562,1.9200000000000003e-06,3.729063034057617,0.0
193.0,193.0,0.0,0.668255627155304,1.93e-06,3.656280755996704,0.0
194.0,194.0,0.0,0.6592845320701599,1.94e-06,3.750837564468384,0.0
195.0,195.0,0.0,0.6580027341842651,1.95e-06,3.690934896469116,0.0
196.0,196.0,0.0,0.6640822291374207,1.96e-06,3.619694232940674,0.0
197.0,197.0,0.0,0.6645729541778564,1.97e-06,3.496293544769287,0.0
198.0,198.0,0.0,0.6575714945793152,1.98e-06,3.622001886367798,0.0
199.0,199.0,0.0,0.6615304946899414,1.99e-06,3.407785177230835,0.0
200.0,200.0,0.0,0.6512008309364319,2e-06,3.5504603385925293,0.0
201.0,201.0,0.0,0.6452147364616394,2.01e-06,3.5350561141967773,0.0
202.0,202.0,0.0,0.6335194110870361,2.02e-06,3.531294345855713,0.0
203.0,203.0,0.0,0.6360421180725098,2.03e-06,3.4398276805877686,0.0
204.0,204.0,0.0,0.6279535293579102,2.04e-06,3.4609601497650146,0.0
205.0,205.0,0.0,0.6231579780578613,2.0500000000000003e-06,3.42297101020813,0.0
206.0,206.0,0.0,0.6314048767089844,2.06e-06,3.296666383743286,0.0
207.0,207.0,0.0,0.6170507669448853,2.07e-06,3.438448905944824,0.0
208.0,208.0,0.0,0.6175341606140137,2.0800000000000004e-06,3.4280142784118652,0.0
209.0,209.0,0.0,0.6114701628684998,2.0900000000000003e-06,3.3677477836608887,0.0
210.0,210.0,0.0,0.610127329826355,2.1000000000000002e-06,3.2957770824432373,0.0
211.0,211.0,0.0,0.5980584621429443,2.11e-06,3.3692595958709717,0.0
212.0,212.0,0.0,0.5858606696128845,2.12e-06,3.4198408126831055,0.0
213.0,213.0,0.0,0.6038532257080078,2.13e-06,3.3271682262420654,0.0
214.0,214.0,0.0,0.5997917652130127,2.1400000000000003e-06,3.265293836593628,0.0
215.0,215.0,0.0,0.5884333848953247,2.15e-06,3.2308006286621094,0.0
216.0,216.0,0.0,0.5774551033973694,2.16e-06,3.2728192806243896,0.0
217.0,217.0,0.0,0.5667068958282471,2.17e-06,3.2990949153900146,0.0
218.0,218.0,0.0,0.5770764350891113,2.18e-06,3.2417430877685547,0.0
