experiment,checkpoint,ema_decay,weights,subset,subset_kind,subset_seed,generated_seed,real_samples,generated_samples,clip_denoised,fid
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,official_first5000,official,,44,5000,5000,True,15.5340
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_1,stratified_random,20260919,44,5000,5000,True,15.3626
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_2,stratified_random,20260919,44,5000,5000,True,15.5092
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_3,stratified_random,20260919,44,5000,5000,True,15.5366
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_4,stratified_random,20260919,44,5000,5000,True,15.6144
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,official_first5000,official,,45,5000,5000,True,15.6575
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_1,stratified_random,20260919,45,5000,5000,True,15.3898
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_2,stratified_random,20260919,45,5000,5000,True,15.5849
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_3,stratified_random,20260919,45,5000,5000,True,15.5887
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_4,stratified_random,20260919,45,5000,5000,True,15.6866
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,official_first5000,official,,46,5000,5000,True,15.4022
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_1,stratified_random,20260919,46,5000,5000,True,15.3157
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_2,stratified_random,20260919,46,5000,5000,True,15.4880
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_3,stratified_random,20260919,46,5000,5000,True,15.4297
R3,runs/fid15_stage1_inputs/r3_full_cosine_final.pt,0.9995,ema,stratified_4,stratified_random,20260919,46,5000,5000,True,15.5436
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,official_first5000,official,,44,5000,5000,True,15.4385
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_1,stratified_random,20260919,44,5000,5000,True,15.2631
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_2,stratified_random,20260919,44,5000,5000,True,15.4499
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_3,stratified_random,20260919,44,5000,5000,True,15.4496
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_4,stratified_random,20260919,44,5000,5000,True,15.5563
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,official_first5000,official,,45,5000,5000,True,15.4678
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_1,stratified_random,20260919,45,5000,5000,True,15.1989
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_2,stratified_random,20260919,45,5000,5000,True,15.3795
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_3,stratified_random,20260919,45,5000,5000,True,15.4227
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_4,stratified_random,20260919,45,5000,5000,True,15.5048
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,official_first5000,official,,46,5000,5000,True,15.2086
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_1,stratified_random,20260919,46,5000,5000,True,15.1445
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_2,stratified_random,20260919,46,5000,5000,True,15.2948
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_3,stratified_random,20260919,46,5000,5000,True,15.2233
R5,runs/fid15_r5_late_decay/ckpt/final.pt,0.9999,ema,stratified_4,stratified_random,20260919,46,5000,5000,True,15.3833
